词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
うち	⓪②	名	うち	家，家庭，自己家（家人）	家	うちへ帰る	回家	1	名词·人物职业
おじ	⓪	名	おじ	（伯父）父母的哥哥；（叔父）父母的弟弟	伯父・叔父	おじは銀行につとめています	叔叔在银行上班	1	名词·人物职业
おじいさん	②	名	おじいさん	祖父；外公；对年长男性的昵称	お祖父さん・お爺さん	おじいさんは元気ですか？	爷爷，你好吗？	1	名词·人物职业
おじさん	⓪	名	おじさん	叔叔，伯伯；对其他成年男性的昵称	伯父さん・叔父さん	昨日おじさんに会いました	昨天我见了叔叔	1	名词·人物职业
おば	⓪	名	おば	（伯母）父母的姐姐；（叔母）父母的妹妹	伯母・叔母	おばは大阪に住んでいます	阿姨住在大阪	1	名词·人物职业
おばあさん	②	名	おばあさん	祖母；外婆；对年长女性的昵称		あなたのおばあさんはお元気ですか	您的祖母身体好吗？	1	名词·人物职业
おばさん	⓪	名	おばさん	婶婶，阿姨；对其他成年女性的昵称	伯母さん・叔母さん	おばさん一家が遊びに来ました	阿姨一家人来玩了	1	名词·人物职业
お兄さん	②	名	おにいさん	哥哥；对年轻男子的称呼		あなたのお兄さんは何歳？	你的哥哥几岁？	1	名词·人物职业
お姉さん	②	名	おねえさん	姐姐；对年轻女子的称呼		昨日、あなたのお姉さんに会ったよ	昨天我见到你姐姐了	1	名词·人物职业
お母さん	②	名	おかあさん	妈妈，母亲		彼女はもうお母さんになったよ	她已经做母亲了	1	名词·人物职业
お父さん	②	名	おとうさん	爸爸；父亲		お父さんは会社員です	爸爸是公司职员	1	名词·人物职业
医者	⓪	名	いしゃ	医生		私は医者に相談した	我咨询了医生	1	名词·人物职业
奥さん	①	名	おくさん	您妻子，夫人，太太		昨日、君の奥さんに会ったよ	昨天我见到你太太了	1	名词·人物职业
家族	①	名	かぞく	家族，家属		何人家族ですか	你们家有几口人？	1	名词·人物职业
課長	⓪	名	かちょう	课长，处长		課長に昇進する	晋升为课长	1	名词·人物职业
トイレ	①	名	toilet	卫生间，厕所		トイレに行く	上厕所；上洗手间	1	名词·场所
プール	①	名	pool	游泳池		プールで泳ぐ	在游泳池游泳	1	名词·场所
南	⓪	名	みなみ	南方		私の家は町の南にあります	我家在城镇的南边	1	名词·方位位置
左	⓪	名	ひだり	左，左边		そこを左に曲がってください	请在那边左转	1	名词·方位位置
その後	⓪	名	そのご	然后，从那以后		その後どうなりましたか	后来怎么样了？	1	名词·时间
ゆうべ	③	名	ゆうべ	昨晚	昨夜	私はゆうべいやな夢を見た	昨天晚上我做了一个噩梦	1	名词·时间
三日	⓪	名	みっか	三号，三日；三天		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	1	名词·时间
今晩	①	名	こんばん	今晚，今夜		今晩のパーティーは何時からですか	今晚的派对几点开始？	1	名词·时间
以前	①	名	いぜん	以前，之前；（在某时期）以前		以前彼はこの町に住んでいたんだ	他以前住在这个城镇	1	名词·时间
再来週	⓪	名	さらいしゅう	下下周，下下星期		再来週は忙しいです	下下周会很忙	1	名词·时间
四日	⓪	名	よっか	四天；四号		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	1	名词·时间
時間	⓪	名	じかん	时间，时刻		時間をつぶす	消磨时间	1	名词·时间
間	①	名	かん	间，期间		その間に彼はいなくなっていました	他这段时间消失了	1	名词·时间
何	①	代・接頭	なん	什么		質問は何ですか	请问有什么问题吗？	1	基础·代词指示
皆さん	②	名・代	みなさん	各位，诸位		皆さんにお話があります	我有话要对大家说	1	基础·代词指示
いいえ	③	感	いいえ	（表示否定）不是，不对		お好きですか——いいえ、嫌いです	您喜欢吗？——不，不喜欢	1	基础·感叹寒暄
ご〜		接頭	ご〜	表示尊敬	御〜	御両親	您父母	1	基础·接头接尾
日		造	にち	……号；……天；日本；星期日		私たちは先月11日に結婚しました	我们上个月十一日结婚了	1	基础·造语
〜階	①	接尾	〜かい	……层，……楼		二階の部屋	二楼的房间	1	基础·量词单位
ワイシャツ	⓪	名	white shirt	男式衬衫		ワイシャツにアイロンをかける	熨烫衬衫	2	名词·人物职业
学生	⓪	名	がくせい	学生		文学部は女子学生が男子学生よりも多い	文学系女生比男生多	2	名词·人物职业
テキスト	①②	名	text	教科书；文本		テキストを読んでください	请阅读课文	2	名词·学习教育
ノート	①	他動3・名	note	笔记本，备忘录；记下来		研究ノート	研究笔记	2	名词·学习教育
ペン	①	名	pen	笔		ペンを貸してください	请借我一支笔	2	名词·学习教育
ボールペン	⓪	名	ball pen	圆珠笔		ボールペンで名前を書いてください	请用圆珠笔写下名字	2	名词·学习教育
〜回		名	〜かい	……回，次		第一回	第一回	2	名词·数量
いくつ	①	名	いくつ	几个；几岁	幾つ	いくつありますか	有几个？	2	名词·数量
一つ	②	名	ひとつ	一个；一岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
七つ	②	名	ななつ	七个；七岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
三つ	③⓪	名	みっつ	三个；三岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
九つ	②	名	ここのつ	九个；九岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
二つ	③⓪	名	ふたつ	两个；两岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
五つ	②	名	いつつ	五个；五岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
八つ	③⓪	名	やっつ	八个；八岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
六つ	③⓪	名	むっつ	六个；六岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
四つ	③⓪	名	よっつ	四个；四岁		一つ・二つ・三つ・四つ・五つ・六つ・七つ・八つ・九つ・十	1〜10个的说法	2	名词·数量
側	⓪	名	がわ	一侧，一方		川の向こう側にある	在河的对岸	2	名词·方位位置
かばん	⓪	名	かばん	（皮革或布等制作的）书包，提包	鞄	その黒いかばんはぼくのです	那个黑色的包包是我的	2	名词·日用品
あさって	②	名	あさって	后天	明後日	あさっては日曜日だ	后天是星期日	2	名词·时间
おととし	②	名	おととし	前年	一昨年	おととしから日本に住んでいる	从前年起住在日本	2	名词·时间
一日	④⓪	名	いちにち	一天；一整天；某一天		一日ごとに寒くなってきた	天气一天比一天冷了	2	名词·时间
九日	④	名	ここのか	九号；九天		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	2	名词·时间
今月	⓪	名	こんげつ	这个月		今月はとても忙しい	这个月非常忙碌	2	名词·时间
分		名	ふん	……分钟		15分	十五分钟	2	名词·时间
去年	①	名	きょねん	去年		私は去年フランスへ行った	我去年去了法国	2	名词·时间
夏休み	③	名	なつやすみ	暑假		夏休みにおばあちゃんの家へ行きました	暑假去了祖母家	2	名词·时间
月曜日	③	名	げつようび	周一		月曜日・火曜日・水曜日・木曜日・金曜日・土曜日・日曜日	周一到周日的叫法	2	名词·时间
金曜日	③	名	きんようび	周五		月曜日・火曜日・水曜日・木曜日・金曜日・土曜日・日曜日	周一到周日的叫法	2	名词·时间
これ	⓪	代	これ	（指代靠近说话者的事物）这个		これをください	请给我这个	2	基础·代词指示
それ	⓪	代	それ	（表示离对方近的东西）那个		それどこで買ったの	那是在哪儿买的？	2	基础·代词指示
どなた	①	代	どなた	谁，哪位	「だれ」の意の尊敬語	失礼ですが、どなたですか	不好意思，请问你是哪位？	2	基础·代词指示
あ	①	感	あ	（吃惊、感动）啊，呀；（打招呼）喂		あ、きみ、ちょっと来て	啊！你来一下	2	基础·感叹寒暄
あのう	⓪	感	あのう	（带着顾虑和犹豫的心情呼唤对方）不好意思，那个……		あのう、質問ですが	那个，我有个问题……	2	基础·感叹寒暄
ううん		感	ううん	不，不是	「いいえ・いえ」の、くだけた言い方	ううん、まだ来ていないよ	不，还没来呢	2	基础·感叹寒暄
ええ	①	感	ええ	（表示肯定、同意）嗯，诶；（表示疑问）啊？；（表示迟疑）嗯		ええ、いいですよ	欸，好的	2	基础·感叹寒暄
どの	①	連体	どの	哪一个		どの花が好きですか	你喜欢哪朵花？	2	基础·连体词
〜か月		接尾	〜かげつ	……个月		1年は12か月です	一年十二个月	2	基础·量词单位
〜個		接尾	〜こ	（用于数小而圆的物体）……个		リンゴを6個買ってきてください	请买六颗苹果回来	2	基础·量词单位
兄	①	名	あに	（自己的）哥哥，姐夫		兄は水泳が得意です	哥哥很擅长游泳	3	名词·人物职业
コンビニ	⓪	名	convenience store	便利店	「コンビニエンスストア」の略	コンビニで弁当を買う	在便利店买盒饭	3	名词·场所
スーパー	①	名・接頭	super	超级；（「スーパーマーケット」の略）超市		スーパーマン	超人	3	名词·场所
デパート	②	名	department store	百货商店		私はデパートで靴を買った	我在百货公司买了鞋子	3	名词·场所
ホテル	①	名	hotel	（西式）宾馆，旅馆，酒店		今ホテルに着きました	现在到酒店了	3	名词·场所
映画館	③	名	えいがかん	电影院，剧院		彼と近くの映画館に行きました	和他去了附近的电影院	3	名词·场所
高校	⓪	名	こうこう	高中	「高等学校」の略	妹は高校に通っています	妹妹在上高中	3	名词·场所
テスト	①	他動3・名	test	考试，测验		テストに合格する	考试及格	3	名词·学习教育
グラム	①⓪	名	gram；(法) gramme	克		ひき肉を200グラムください	请给我200克的绞肉	3	名词·数量
千	①	名	せん	千		千円貸してください	请借我一千日元	3	名词·数量
数	①	名	かず	数，数量		数が増える	数目增加	3	名词·数量
中	①⓪	名・接尾	ちゅう	正在……；中间，中		会議中	正在开会	3	名词·方位位置
東	⓪③	名	ひがし	东		東に向かって歩く	朝东走	3	名词·方位位置
近く	②①	名・副	ちかく	附近；将近，几乎；不久		会社の近くに本屋がある	公司附近有书店	3	名词·方位位置
ごみ箱	③⓪	名	ごみばこ	垃圾箱		ごみ箱にごみを捨てる	把垃圾丢进垃圾桶	3	名词·日用品
おととい	③	名	おととい	前天	一昨日	おとといの朝	前天早晨	3	名词·时间
一日	④⓪	名	ついたち	一号，一个月的第一天		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	3	名词·时间
五日	⓪	名	いつか	五号；五天		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	3	名词·时间
今	①	名	いま	现在，当前；立刻		彼は今、勉強しています	他现在在学习	3	名词·时间
今朝	①	名	けさ	今天早上		今朝テレビでそのニュースを知りました	今天早上在电视上看到那则新闻	3	名词·时间
午後	①	名	ごご	下午，午后		明日の午後、お客様が来る	明天下午有客人要来	3	名词·时间
夏	②	名	なつ	夏天，夏季		夏が来る	夏天到来	3	名词·时间
季節	②①	名	きせつ	季节		私の一番好きな季節は春です	我最喜欢的季节是春天	3	名词·时间
秋	①	名	あき	秋天		春は暖くて秋は涼しい	春暖秋凉	3	名词·时间
あそこ	⓪	代	あそこ	（指代远处）那里；（指代自己和对方都知道的地方）那里		あそこにバス停があります	那里有公交车站	3	基础·代词指示
あちら	⓪	代	あちら	（远处）那边；那个人，那位		あちらに行ってみよう	去那边看看吧	3	基础·代词指示
ここ	⓪	代	ここ	（指代自己附近的事物）这里；（自己所指的地方）这里		ここに本があります	这里有本书	3	基础·代词指示
こちら	⓪	代	こちら	（指示说话者所在的方向或地点）这里；（说话者或说话者旁边的人）这个，这位		受付はこちらです	接待处在这里	3	基础·代词指示
そこ	⓪	代	そこ	（指代对方附近）那里；指刚才提及的事情或状态		そこに座ってください	请坐在那里	3	基础·代词指示
そちら	⓪	代	そちら	（指代离对方近的事物）那里；指代对方或对方那边的人		夕方そちらに着きます	傍晚会抵达那边	3	基础·代词指示
そっち	③	代	そっち	那边；那个，那个人	「そちら」のくだけた言い方	そっちが私の部屋です	那是我的房间	3	基础·代词指示
どこ	①	代	どこ	哪里		あの本をどこに置きましたか	那本书放在哪里？	3	基础·代词指示
どちら	①	代	どちら	哪里；哪个；哪位		どちらへ行きましたか	往哪边去了？	3	基础·代词指示
どっち	①	代	どっち	哪边；哪个，哪个人	「どちら」のくだけた言い方	西はどっちですか	哪个方向是西边呢？	3	基础·代词指示
私	⓪	代・名	わたし	我		私は日本人です	我是日本人	3	基础·代词指示
いや	①⓪	感	いや	不，不是		いや、そうではない	不，不是那样	3	基础·感叹寒暄
うん	①	感	うん	是，是的	「はい」よりもぞんざいな、または親しみのある言い方。目上や客に使うのは失礼	うん、わかった	嗯，知道了	3	基础·感叹寒暄
そうだ	①	感	そうだ	是啊，就是；（突然想到）对了		そりゃそうだ	谁说不是呢！；可不是吗！	3	基础·感叹寒暄
その	⓪	連体	その	（指代对方附近的物品）那个		そのえんぴつを取ってください	请拿那支铅笔	3	基础·连体词
小さな	①	連体	ちいさな	小，微小的		小さなこと	小事	3	基础·连体词
〜過ぎ		接尾	〜すぎ	超过……；过分……，过度……		午後一時過ぎ	下午一点多	3	基础·量词单位
家	②	名	いえ	房子；家庭		家を探す	找房子	4	名词·人物职业
アパート	②	名	apartment house	公寓	「アパートメントハウス」の略	彼はアパートに住んでいます	他住在公寓里	4	名词·住宅设备
エアコン	⓪	名	air conditioner	空调	「エアコンディショナー」の略	部屋にエアコンを取り付けたんだ	在房间里装了空调	4	名词·住宅设备
シャワー	①	名	shower	淋浴		シャワーを浴びる	淋浴	4	名词·住宅设备
ストーブ	②	名	stove	暖炉，炉子		電気ストーブ	电暖器	4	名词·住宅设备
テレビ	①	名	television	电视		私はテレビをあまり見ません	我不太看电视	4	名词·住宅设备
テーブル	⓪	名	table	桌子，饭桌；表格		テーブルマナー	餐桌礼仪	4	名词·住宅设备
ドア	①	名	door	（西式风格的）门		ドアを開けてください	请开门	4	名词·住宅设备
温泉	⓪	名	おんせん	温泉		温泉に入る	洗温泉	4	名词·场所
二十	①	名	にじゅう	二十		二十人	<b>二十</b>人	4	名词·数量
そば	①	名	そば	旁边，附近	側	そばにいてください	请待在我身边	4	名词·方位位置
先	⓪	名	さき	顶，尖；前方；先		トンボが枝の先にとまっている	蜻蜓落在树枝尖上	4	名词·方位位置
右	⓪	名	みぎ	右		右に曲がる	向右转	4	名词·方位位置
西	⓪	名	にし	西方		西向きの部屋	朝西的房间	4	名词·方位位置
ポスト	①	名	post	信箱；职位		手紙をポストに入れました	把信投入邮筒里	4	名词·日用品
〜頃		名	〜ごろ	大概……，……左右；时期		6時頃に起きる	六点左右起床	4	名词·时间
七日	⓪	名	なのか	七号；七天		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	4	名词·时间
今年	⓪	名	ことし	今年		今年はイタリアに旅行したい	今年想去意大利旅行	4	名词·时间
今日	①	名	きょう	今天		今日は仕事がありません	今天没有工作	4	名词·时间
今週	⓪	名	こんしゅう	这周		今週は日本語のテストがあります	本周有日语考试	4	名词·时间
午前	①	名	ごぜん	上午		午前9時のニュースです	现在为您播报上午九点的新闻	4	名词·时间
昨日	②⓪	名	きのう	昨天		昨日の朝	昨天早上	4	名词·时间
時	②	名	とき	时间；时期；时候；时机		時が流れる	时光流逝	4	名词·时间
火曜日	②	名	かようび	周二		月曜日・火曜日・水曜日・木曜日・金曜日・土曜日・日曜日	周一到周日的叫法	4	名词·时间
あっち	③	代	あっち	那边；那个人	「あちら」のくだけた言い方	郵便局はあっちです	邮局在那边	4	基础·代词指示
あなた	②	代	あなた	你		これはあなたのかばんですか	这是你的包吗？	4	基础·代词指示
あれ	⓪	代	あれ	（表示离双方都有距离的）那个；（指之前发生过的，你和对方都熟悉的事情）那时		あれは何ですか	那是什么？	4	基础·代词指示
いつ	①	代	いつ	什么时候	何時	彼女はいつ来ますか	她什么时候会来呢？	4	基础·代词指示
こっち	③	代	こっち	这边；这个；我，我们	「こちら」のくだけた言い方	こっちに来てください	请到这边来	4	基础·代词指示
どれ	①	代	どれ	哪一个		この中でどれが好きですか	这里面你最喜欢哪个？	4	基础·代词指示
何	①⓪	代・副・感	なに	什么		夕食には何を食べたいですか	晚餐想吃什么？	4	基础·代词指示
ああ	①	感	ああ	（悲伤、快乐或惊讶时）啊，哎呀；（答应时）啊		ああ、そうでしたか	啊！是吗！	4	基础·感叹寒暄
あれ	⓪	感	あれ	（表示惊讶、奇怪）哎呀，哎哟		あれ変だぞ	哎呀，真怪啊！	4	基础·感叹寒暄
さあ	①	感	さあ	（催促或邀请别人）快，喂；（犹豫或感到为难时）唉		さあ、始めよう	来啊，开始吧	4	基础·感叹寒暄
〜番目		接尾・名	〜ばんめ	第……号，第……个		前から三番目の人	从前面数第三个人	4	基础·接头接尾
あの	⓪	連体	あの	（指代远处事物）那个；（指代自己和对方都知道的事物）那个		あの黒いカバンは誰のですか？	那个黑色的包是谁的？	4	基础·连体词
ある〜		連体	ある〜	某，某个	或る	ある日	某天	4	基础·连体词
この	⓪	連体	この	（指代靠近说话者的事物）这个		このシャツ	这件衬衫	4	基础·连体词
時		造	じ	……点（钟）；……时候		午前10時	上午十点	4	基础·造语
〜君		接尾	〜くん	（用于同辈或下级男性姓名后）小……		張君	小张	4	基础·量词单位
たぶん	①	副	たぶん	大概，大约	多分	彼女は多分家で寝ています	她大概在家里睡觉	5	副词
どうして	①	副	どうして	为什么		どうして泣いているの	你为什么在哭呢？	5	副词
ある	①	自動1・補動	ある	（无生命物体）存在；有；发生；处于某种状态	有る・在る	私の机の上に書類がたくさんあります	我的桌上有很多文件	5	动词·一类
なる	①	自動1	なる	变成，成为；当		顔が赤くなる	脸发红	5	动词·一类
作る	②	他動1	つくる	制作；做		今、朝ご飯を作っています	我现在正在做早餐	5	动词·一类
吸う	⓪	他動1	すう	吸；吮吸；吸收		たばこを吸う	吸烟	5	动词·一类
引く	⓪	他動1	ひく	拉；减；画（线）；吸引		ロープを引く	拉缆绳	5	动词·一类
押す	⓪	他動1	おす	压，按；推		ボタンを押す	按按钮	5	动词·一类
書く	①	他動1	かく	写		鉛筆で書く	用铅笔写	5	动词·一类
知る	⓪	他動1	しる	知道；了解		誰もその話を知らない	没有人知道这件事	5	动词·一类
行く	⓪	自動1	いく	去，往，到		東京へ行く	去东京	5	动词·一类
込む	①	自動1	こむ	（混）拥挤；（込）费事，精巧	混む	道が混む	道路拥挤	5	动词·一类
降る	①	自動1	ふる	下（雨、雪等）		雨が降る	下雨	5	动词·一类
ゆっくり	③	副・自動3	ゆっくり	缓慢地；悠闲地，舒服地		もっとゆっくり話してください	请说得慢一点	5	动词·三类
信号	⓪	名・自動3	しんごう	信号；红绿灯		モールス信号	摩斯电码	5	动词·三类
意味	①	名・自他動3	いみ	意思；意图；价值		それはどういう意味ですか	那是什么意思？	5	动词·三类
来る	①	自動3・補動	くる	来		友だちが来る	朋友要来了	5	动词·三类
洗濯	⓪	名・他動3	せんたく	洗衣服		服を洗濯する	洗衣服	5	动词·三类
買い物	⓪	名・自動3	かいもの	买东西；买的东西		銀座へ買い物に行く	去银座买东西	5	动词·三类
いる	⓪	自動2	いる	（有生命的物体的）存在，有	居る	今日は一日中家にいました	今天一整天都待在家里	5	动词·二类
くれる	⓪	他動2・補動	くれる	给（我）		友達が誕生日プレゼントをくれた	朋友送我生日礼物	5	动词·二类
借りる	⓪	他動2	かりる	（从别人那里）借，租；借助		兄に本を借りる	跟哥哥借书	5	动词·二类
疲れる	③	自動2	つかれる	疲倦，累		体が疲れる	身体疲倦	5	动词·二类
見る	①	他動2	みる	看		こっちを見てください	请看这边	5	动词·二类
負ける	⓪	自動2	まける	输，不如；难以忍受		相手に負ける	输给对手	5	动词·二类
コピー	①	他動3・名	copy	复印（件）；拷贝		会議で書類のコピーを配った	在会议上发了文件的复印件	5	名词·IT通信
バス	①	名	bus	巴士，公交车		バスの運転士	公交车司机	5	名词·交通出行
台	①	名・接尾・造	だい	（家具、汽车、机器等）……台，……辆；台子		バス2台	两辆公共汽车	5	名词·交通出行
仕事	⓪	名	しごと	工作，职业		3月は仕事が忙しい	三月工作很忙	5	名词·人物职业
子供	⓪	名	こども	小孩；孩子		子供ができる	有孩子；怀孕	5	名词·人物职业
親	②	名	おや	父母		親を失う	失去双亲	5	名词·人物职业
カメラ	①	名	camera	照相机		カメラで写真を撮る	用照相机照相	5	名词·兴趣娱乐
会社員	③	名	かいしゃいん	公司职员		主人は会社員です	我的丈夫是上班族	5	名词·场所
銀行	⓪	名	ぎんこう	银行		A銀行B支店	A银行B分行	5	名词·场所
漢字	⓪	名	かんじ	汉字		漢字は中国からきました	汉字是从中国传来的	5	名词·学习教育
万	①	名	まん	（数量）万		この靴は1万円です	这双鞋要一万日元	5	名词·数量
歩		名	ほ	……步		3歩	三步	5	名词·数量
時計	⓪	名	とけい	钟，表		時計を見たらちょうど３時だった	看了看表，正好是三点	5	名词·日用品
先週	⓪	名	せんしゅう	上周		先週は海に行った	上周去了海边	5	名词·时间
十日	⓪	名	とおか	十号；十天		一日・二日・三日・四日・五日・六日・七日・八日・九日・十日	1〜10日的叫法	5	名词·时间
土曜日	②	名	どようび	周六		月曜日・火曜日・水曜日・木曜日・金曜日・土曜日・日曜日	周一到周日的叫法	5	名词·时间
夕方	⓪	名	ゆうがた	傍晚		夕方、雨が降りました	傍晚下雨了	5	名词·时间
木曜日	③	名	もくようび	周四		月曜日・火曜日・水曜日・木曜日・金曜日・土曜日・日曜日	周一到周日的叫法	5	名词·时间
来年	⓪	名	らいねん	明年		来年の冬	明年冬天	5	名词·时间
来月	①	名	らいげつ	下个月		来月から大学生になります	下个月开始就是大学生了	5	名词·时间
誕生日	③	名	たんじょうび	生日		誕生日のプレゼント	生日礼物	5	名词·时间
シャツ	①	名	shirt	衬衫		このシャツはアイロンが必要だ	这件衬衫需要熨烫	5	名词·衣物外貌
しょうゆ	⓪	名	しょうゆ	酱油	醤油・醬油	しょうゆ差し	酱油瓶	5	名词·饮食
すいか	⓪	名	すいか	西瓜	西瓜	夏はすいかがおいしい	夏天的西瓜很好吃	5	名词·饮食
カップ	①	名	cup	（带把手的）杯子；奖杯		コーヒーカップ	咖啡杯	5	名词·饮食
カレー	⓪	名	curry	咖喱		カレーライス	咖喱饭	5	名词·饮食
自分	⓪	名・代	じぶん	自己；我		宿題は自分でやりなさい	作业要自己写	5	基础·代词指示
誰か	①	代	だれか	（不确定的指代）某人		誰かに聞いてみてください	请试着问问看别人	5	基础·代词指示
はい	①	感	はい	是的，对的		わかりましたか——はい	明白了吗？——明白了	5	基础·感叹寒暄
もしもし	①	感	もしもし	（打电话时）喂；（对不认识的人的称呼）喂		もしもし、田中さんのお宅ですか	喂，请问是田中先生家吗？	5	基础·感叹寒暄
〜やすい		接尾	〜やすい	简单的，容易……的	〜易い	わかりやすい説明	易懂的说明	5	基础·接尾
しかし	②	接	しかし	可是，不过		努力はした。しかし成功はしなかった	努力了。但是没有成功	5	基础·接续助词
じゃ	①	接	じゃ	那么	「では」のくだけた言い方	じゃ、また明日	那么，明天见	5	基础·接续助词
後		造	ご	……之后		いまから20年後	从现在起二十年后	5	基础·造语
